Date,Open,High,Low,Close
10/18/2021,4463.72,4488.75,4447.47,4486.46
10/19/2021,4497.34,4520.4,4496.41,4519.63
10/20/2021,4524.42,4540.87,4524.4,4536.19
10/21/2021,4532.24,4551.44,4526.89,4549.78
10/22/2021,4546.12,4559.67,4524,4544.9
10/25/2021,4553.69,4572.62,4537.36,4566.48
10/26/2021,4578.69,4598.53,4569.17,4574.79
10/27/2021,4580.22,4584.57,4551.66,4551.68
10/28/2021,4562.84,4597.55,4562.84,4596.42
10/29/2021,4572.87,4608.08,4567.59,4605.38
11/01/2021,4610.62,4620.34,4595.06,4613.67
11/02/2021,4613.34,4635.15,4613.34,4630.65
11/03/2021,4630.65,4663.46,4621.19,4660.57
11/04/2021,4662.93,4683,4662.59,4680.06
11/05/2021,4699.26,4718.5,4681.32,4697.53
11/08/2021,4701.48,4714.92,4694.39,4701.7
11/09/2021,4707.25,4708.53,4670.87,4685.25
11/10/2021,4670.26,4684.85,4630.86,4646.71
11/11/2021,4659.39,4664.55,4648.31,4649.27
11/12/2021,4655.24,4688.47,4650.77,4682.85
11/15/2021,4689.3,4697.42,4672.86,4682.8
11/16/2021,4679.42,4714.95,4679.42,4700.9
11/17/2021,4701.5,4701.5,4684.41,4688.67
11/18/2021,4700.72,4708.8,4672.78,4704.54
11/19/2021,4708.44,4717.75,4694.22,4697.96
11/22/2021,4712,4743.83,4682.17,4682.94
11/23/2021,4678.48,4699.39,4652.66,4690.7
11/24/2021,4675.78,4702.87,4659.89,4701.46
11/26/2021,4664.63,4664.63,4585.43,4594.62
11/29/2021,4628.75,4672.95,4625.26,4655.27
11/30/2021,4640.25,4646.02,4560,4567
12/01/2021,4602.82,4652.94,4510.27,4513.04
12/02/2021,4504.73,4595.46,4504.73,4577.1
12/03/2021,4589.49,4608.03,4495.12,4538.43
12/06/2021,4548.37,4612.6,4540.51,4591.67
12/07/2021,4631.97,4694.04,4631.97,4686.75
12/08/2021,4690.86,4705.06,4674.52,4701.21
12/09/2021,4691,4695.26,4665.98,4667.45
12/10/2021,4687.64,4713.57,4670.24,4712.02
12/13/2021,4710.3,4710.3,4667.6,4668.97
12/14/2021,4642.99,4660.47,4606.52,4634.09
12/15/2021,4636.46,4712.6,4611.22,4709.85
12/16/2021,4719.13,4731.99,4651.89,4668.67
12/17/2021,4652.5,4666.7,4600.22,4620.64
12/20/2021,4587.9,4587.9,4531.1,4568.02
12/21/2021,4594.96,4651.14,4583.16,4649.23
12/22/2021,4650.36,4697.67,4645.53,4696.56
12/23/2021,4703.96,4740.74,4703.96,4725.79
12/27/2021,4733.99,4791.49,4733.99,4791.19
12/28/2021,4795.49,4807.02,4780.04,4786.35
12/29/2021,4788.64,4804.06,4778.08,4793.06
12/30/2021,4794.23,4808.93,4775.33,4778.73
12/31/2021,4775.21,4786.83,4765.75,4766.18
01/03/2022,4778.14,4796.64,4758.17,4796.56
01/04/2022,4804.51,4818.62,4774.27,4793.54
01/05/2022,4787.99,4797.7,4699.44,4700.58
01/06/2022,4693.39,4725.01,4671.26,4696.05
01/07/2022,4697.66,4707.95,4662.74,4677.03
01/10/2022,4655.34,4673.02,4582.24,4670.29
01/11/2022,4669.14,4714.13,4638.27,4713.07
01/12/2022,4728.59,4748.83,4706.71,4726.35
01/13/2022,4733.56,4744.13,4650.29,4659.03
01/14/2022,4637.99,4665.13,4614.75,4662.85
01/18/2022,4632.24,4632.24,4568.7,4577.11
01/19/2022,4588.03,4611.55,4530.2,4532.76
01/20/2022,4547.35,4602.11,4477.95,4482.73
01/21/2022,4471.38,4494.52,4395.34,4397.94
01/24/2022,4356.32,4417.35,4222.62,4410.13
01/25/2022,4366.64,4411.01,4287.11,4356.45
01/26/2022,4408.43,4453.23,4304.8,4349.93
01/27/2022,4380.58,4428.74,4309.5,4326.51
01/28/2022,4336.19,4432.72,4292.46,4431.85
01/31/2022,4431.79,4516.89,4414.02,4515.55
02/01/2022,4519.57,4550.49,4483.53,4546.54
02/02/2022,4566.39,4595.31,4544.32,4589.38
02/03/2022,4535.41,4542.88,4470.39,4477.44
02/04/2022,4482.79,4539.66,4451.5,4500.53
02/07/2022,4505.75,4521.86,4471.47,4483.87
02/08/2022,4480.02,4531.32,4465.4,4521.54
02/09/2022,4547,4590.03,4547,4587.18
02/10/2022,4553.24,4588.92,4484.31,4504.08
02/11/2022,4506.27,4526.33,4401.41,4418.64
02/14/2022,4412.61,4426.22,4364.84,4401.67
02/15/2022,4429.28,4472.77,4429.28,4471.07
02/16/2022,4455.75,4489.55,4429.68,4475.01
02/17/2022,4456.06,4456.06,4373.81,4380.26
02/18/2022,4384.57,4394.6,4327.22,4348.87
02/22/2022,4332.74,4362.12,4267.11,4304.76
02/23/2022,4324.93,4341.51,4221.51,4225.5
02/24/2022,4155.77,4294.73,4114.65,4288.7
02/25/2022,4298.38,4385.34,4286.83,4384.65
02/28/2022,4354.17,4388.84,4315.12,4373.94
03/01/2022,4363.14,4378.45,4279.54,4306.26
03/02/2022,4322.56,4401.48,4322.56,4386.54
03/03/2022,4401.31,4416.78,4345.56,4363.49
03/04/2022,4342.12,4342.12,4284.98,4328.87
03/07/2022,4327.01,4327.01,4199.85,4201.09
03/08/2022,4202.66,4276.94,4157.87,4170.7
03/09/2022,4223.1,4299.4,4223.1,4277.88
03/10/2022,4252.55,4268.28,4209.8,4259.52
03/11/2022,4279.5,4291.01,4200.49,4204.31
03/14/2022,4202.75,4247.57,4161.72,4173.11
03/15/2022,4188.82,4271.05,4187.9,4262.45
03/16/2022,4288.14,4358.9,4251.99,4357.86
03/17/2022,4345.11,4412.67,4335.65,4411.67
03/18/2022,4407.34,4465.4,4390.57,4463.12
03/21/2022,4462.4,4481.75,4424.3,4461.18
03/22/2022,4469.1,4522,4469.1,4511.61
03/23/2022,4493.1,4501.07,4455.81,4456.24
03/24/2022,4469.98,4520.58,4465.17,4520.16
03/25/2022,4522.91,4546.03,4501.07,4543.06
03/28/2022,4541.09,4575.65,4517.69,4575.52
03/29/2022,4602.86,4637.3,4589.66,4631.6
03/30/2022,4624.2,4627.77,4581.32,4602.45
03/31/2022,4599.02,4603.07,4530.41,4530.41
04/01/2022,4540.32,4548.7,4507.57,4545.86
04/04/2022,4547.97,4583.5,4539.21,4582.64
04/05/2022,4572.45,4593.45,4514.17,4525.12
04/06/2022,4494.17,4503.94,4450.04,4481.15
04/07/2022,4474.65,4521.16,4450.3,4500.21
04/08/2022,4494.15,4520.41,4474.6,4488.28
04/11/2022,4462.64,4464.35,4408.38,4412.53
